SurfaceIndex,Method,ExecutionTime,numberPoints
0,Compute Shader Z-Buffer,0.001217,435172
0,Z-Buffer,0.0461044,435172
0,Direct Method,31.6524,435172
1,Compute Shader Z-Buffer,0.0005535,435172
1,Z-Buffer,0.0449454,435172
1,Direct Method,41.5192,435172
2,Compute Shader Z-Buffer,0.0005416,435172
2,Z-Buffer,0.0454218,435172
2,Direct Method,32.2854,435172
3,Compute Shader Z-Buffer,0.0006381,435172
3,Z-Buffer,0.0442496,435172
3,Direct Method,34.0866,435172
4,Compute Shader Z-Buffer,0.0006948,435172
4,Z-Buffer,0.043486,435172
4,Direct Method,31.3247,435172
5,Compute Shader Z-Buffer,0.0006341,435172
5,Z-Buffer,0.0449063,435172
5,Direct Method,29.7913,435172
6,Compute Shader Z-Buffer,0.0005962,435172
6,Z-Buffer,0.0458869,435172
6,Direct Method,37.5294,435172
7,Compute Shader Z-Buffer,0.0006946,435172
7,Z-Buffer,0.063737,435172
7,Direct Method,31.2314,435172
8,Compute Shader Z-Buffer,0.0006483,435172
8,Z-Buffer,0.0449471,435172
8,Direct Method,31.0884,435172
9,Compute Shader Z-Buffer,0.0005704,435172
9,Z-Buffer,0.0524011,435172
9,Direct Method,31.9299,435172
10,Compute Shader Z-Buffer,0.0006217,435172
10,Z-Buffer,0.0541815,435172
10,Direct Method,31.794,435172
11,Compute Shader Z-Buffer,0.00043,435172
11,Z-Buffer,0.0471972,435172
11,Direct Method,26.4442,435172
12,Compute Shader Z-Buffer,0.0006146,435172
12,Z-Buffer,0.0451988,435172
12,Direct Method,31.2181,435172
13,Compute Shader Z-Buffer,0.0006803,435172
13,Z-Buffer,0.0446782,435172
13,Direct Method,32.0904,435172
14,Compute Shader Z-Buffer,0.0005871,435172
14,Z-Buffer,0.0463341,435172
14,Direct Method,32.7369,435172
15,Compute Shader Z-Buffer,0.0006874,435172
15,Z-Buffer,0.0475385,435172
15,Direct Method,31.2925,435172
16,Compute Shader Z-Buffer,0.0007237,435172
16,Z-Buffer,0.0445984,435172
16,Direct Method,29.1888,435172
17,Compute Shader Z-Buffer,0.000444,435172
17,Z-Buffer,0.0445608,435172
17,Direct Method,29.4121,435172
18,Compute Shader Z-Buffer,0.0007591,435172
18,Z-Buffer,0.0448047,435172
18,Direct Method,29.584,435172
19,Compute Shader Z-Buffer,0.0005237,435172
19,Z-Buffer,0.0447127,435172
19,Direct Method,30.3337,435172
20,Compute Shader Z-Buffer,0.0007981,435172
20,Z-Buffer,0.0458404,435172
20,Direct Method,28.7299,435172
21,Compute Shader Z-Buffer,0.0006111,435172
21,Z-Buffer,0.0472712,435172
21,Direct Method,28.1803,435172
22,Compute Shader Z-Buffer,0.0005646,435172
22,Z-Buffer,0.0450438,435172
22,Direct Method,34.1883,435172
